Name,Order Number,Supplier,Quantity
"30x30 Aluminum Profile, B-Type Slot 8 (350 mm)",30x30 B-Typ Nut 8,Motedis,10
"30x30 Aluminum Profile, B-Type Slot 8 (485 mm)",30x30 B-Typ Nut 8,Motedis,4
"30x30 Aluminum Profile, B-Type Slot 8 (400 mm)",30x30 B-Typ Nut 8,Motedis,2
"Cube Connector 30, B-Type Slot 8 (2D) with cap",65,Motedis,4
"Cube Connector 30, B-Type Slot 8 (3D) with cap",65,Motedis,4
"Angle Bracket 30, B-Type Slot 8",S8BBR30,Motedis,8
"Cover and Edge Profile, Black, B-Type Slot 8",8PSIL08BR,Motedis,10
Handle PA6,9343,Motedis,1
"Hammer Nut, B-Type Slot 8 (M4)",S8BHASNM4,Motedis,4
"Hammer Nut, B-Type Slot 8 (M5)",S8BHASNM5,Motedis,20
"Hammer Nut, B-Type Slot 8 (M6)",S8BHASNM6,Motedis,20
Countersunk screw DIN 7991 M8x25,1120,Motedis,20
Countersunk screw DIN 7991 M4x12,1120,Motedis,20
Screw DIN 912 M6x12,1121,Motedis,
Wheel 75mm,06.07.05,Motedis,4
Zinc Die-Cast Hinge,GN 127-ZD-52-40-B-SW,Hanser,3
Draw latches,GN 936-72-SCL-SW,Hanser,1
Metal Housing for power subsystem,ALN314016B,Fibox,1
